TestDescription,Unit,Value,Component
530170_CAL CH3 Voltage Meas Vf Low, V,.0810,C250
530180_CAL CH4 Voltage Low FB, V,0,C250
530190_CAL CH4 Voltage Meas Vf Low, V,.0805,C250
509010_BST CHK Phase 1, Dec,36,C250
509030_BST CHK Phase 2, Dec,37,C250
509050_BST CHK Phase 3, Dec,36,C250
509070_BST CHK Phase 4, Dec,36,C250
530030_CAL CH1 Voltage High FB, V,0,C250
530040_CAL CH1 Voltage Meas Vf High, V,.0844,C250
530050_CAL CH2 Voltage High FB, V,0,C250
530060_CAL CH2 Voltage Meas Vf High, V,.0859,C250
530070_CAL CH3 Voltage High FB, V,0,C250
530080_CAL CH3 Voltage Meas Vf High, V,.0838,C250
530090_CAL CH4 Voltage High FB, V,0,C250
530100_CAL CH4 Voltage Meas Vf High, V,.0833,C250
530120_CAL CH1 Voltage Low FB, V,0,C250
530130_CAL CH1 Voltage Meas Vf Low, V,.0843,C250
530140_CAL CH2 Voltage Low FB, V,0,C250
530150_CAL CH2 Voltage Meas Vf Low, V,.0860,C250
530160_CAL CH3 Voltage Low FB, V,0,C250
530170_CAL CH3 Voltage Meas Vf Low, V,.0839,C250
530180_CAL CH4 Voltage Low FB, V,0,C250
530190_CAL CH4 Voltage Meas Vf Low, V,.0833,C250
509010_BST CHK Phase 1, Dec,37,C250
509030_BST CHK Phase 2, Dec,36,C250
509050_BST CHK Phase 3, Dec,36,C250
509070_BST CHK Phase 4, Dec,37,C250
530030_CAL CH1 Voltage High FB, V,0,C250
530040_CAL CH1 Voltage Meas Vf High, V,.0854,C250
530050_CAL CH2 Voltage High FB, V,0,C250
530060_CAL CH2 Voltage Meas Vf High, V,.0870,C250
530070_CAL CH3 Voltage High FB, V,0,C250
530080_CAL CH3 Voltage Meas Vf High, V,.0850,C250
530090_CAL CH4 Voltage High FB, V,0,C250
530100_CAL CH4 Voltage Meas Vf High, V,.0843,C250
530120_CAL CH1 Voltage Low FB, V,0,C250
530130_CAL CH1 Voltage Meas Vf Low, V,.0855,C250
530140_CAL CH2 Voltage Low FB, V,0,C250
530150_CAL CH2 Voltage Meas Vf Low, V,.0871,C250
530160_CAL CH3 Voltage Low FB, V,0,C250
530170_CAL CH3 Voltage Meas Vf Low, V,.0851,C250
530180_CAL CH4 Voltage Low FB, V,0,C250
530190_CAL CH4 Voltage Meas Vf Low, V,.0844,C250
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,882,R340
505113_OC Meas Voltage SM CONTROL, V,.0034,D2300
505144_OC Read ADC SM CONTROL, Dec,0,D2300
505280_OC PWM SM CONTROL Meas Freq, Hz,0,D2300
505290_OC PWM SM CONTROL Meas Duty Cycle, %,0,D2300
505300_OC PWM SM CONTROL Meas Vrms, V,.1585,D2300
505330_OC PWM LINCOLN STAR CONTROL Meas Freq, Hz,0,D2300
505340_OC PWM LINCOLN STAR CONTROL Meas Duty Cycle, %,0,D2300
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms, V,.1585,D2300
505113_OC Meas Voltage SM CONTROL, V,.0032,D2300
505144_OC Read ADC SM CONTROL, Dec,0,D2300
505280_OC PWM SM CONTROL Meas Freq, Hz,0,D2300
505290_OC PWM SM CONTROL Meas Duty Cycle, %,0,D2300
505300_OC PWM SM CONTROL Meas Vrms, V,.0791,D2300
505330_OC PWM LINCOLN STAR CONTROL Meas Freq, Hz,0,D2300
505340_OC PWM LINCOLN STAR CONTROL Meas Duty Cycle, %,0,D2300
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms, V,.0791,D2300
503010_PS P0 Variant Detect Combo, Hex,0,R206
503010_PS P0 Variant Detect Combo, Hex,0,R206
505112_OC Meas Voltage FRONT FOG CONTROL, V,.0036,R2404
505146_OC Read ADC FRONT FOG CONTROL, Dec,0,R2404
505230_OC PWM FRONT FOG CONTROL Meas Freq, Hz,0,R2404
505240_OC PWM FRONT FOG CONTROL Meas Duty Cycle, %,0,R2404
505250_OC PWM FRONT FOG CONTROL Meas Vrms, V,0,R2404
505112_OC Meas Voltage FRONT FOG CONTROL, V,.0036,R2404
505146_OC Read ADC FRONT FOG CONTROL, Dec,0,R2404
505230_OC PWM FRONT FOG CONTROL Meas Freq, Hz,0,R2404
505240_OC PWM FRONT FOG CONTROL Meas Duty Cycle, %,0,R2404
505250_OC PWM FRONT FOG CONTROL Meas Vrms, V,0,R2404
505112_OC Meas Voltage FRONT FOG CONTROL, V,.0035,R2404
505146_OC Read ADC FRONT FOG CONTROL, Dec,0,R2404
505230_OC PWM FRONT FOG CONTROL Meas Freq, Hz,0,R2404
505240_OC PWM FRONT FOG CONTROL Meas Duty Cycle, %,0,R2404
505250_OC PWM FRONT FOG CONTROL Meas Vrms, V,0,R2404
503020_LIN Voltage, V,3.839,D401
503020_LIN Voltage, V,3.401,D401
503110_ID Read Ford PN, Dec,21474,D401
504010_PS P0 Calibrate FogADC, V,1.326,D401
504160_AI_P2 RCOD FOG, V,1.484,D401
c115,pF,79.99,C624
503025_Current Standby Measure, mA,134.7,C624
505010_FOG Measure I_Low, mA,7.535,C624
505020_FOG Measure V Anode, V,13.94,C624
505010_FOG Measure I_Low, mA,7.485,C624
505020_FOG Measure V Anode, V,13.91,C624
505010_FOG Measure I_Low, mA,6.196,C624
505020_FOG Measure V Anode, V,13.90,C624
505010_FOG Measure I_Low, mA,9.135,C220
505020_FOG Measure V Anode, V,15.06,C220
505010_FOG Measure I_Low, mA,9.453,C220
505020_FOG Measure V Anode, V,18.80,C220
505010_FOG Measure I_Low, mA,8.855,C220
505046_FOG_P0 LED Anode FB, V,-12.5,T605
505090_FOG LED Anode FB OFF, V,-12.8,T605
506020_FOG_PWM Measure Frequency, Hz,0,T605
506030_FOG_PWM Measure Duty Cycle, %,0,T605
505046_FOG_P0 LED Anode FB, V,-12.5,T605
505090_FOG LED Anode FB OFF, V,-12.7,T605
506020_FOG_PWM Measure Frequency, Hz,0,T605
506030_FOG_PWM Measure Duty Cycle, %,0,T605
505046_FOG_P0 LED Anode FB, V,-12.5,T605
505090_FOG LED Anode FB OFF, V,-12.7,T605
505046_FOG_P0 LED Anode FB, V,-12.5,T605
505090_FOG LED Anode FB OFF, V,-12.7,T605
506020_FOG_PWM Measure Frequency, Hz,0,T605
506030_FOG_PWM Measure Duty Cycle, %,0,T605
505046_FOG_P0 LED Anode FB, V,-12.5,T605
505090_FOG LED Anode FB OFF, V,-12.7,T605
506020_FOG_PWM Measure Frequency, Hz,0,T605
506030_FOG_PWM Measure Duty Cycle, %,0,T605
505046_FOG_P0 LED Anode FB, V,-12.5,T605
505090_FOG LED Anode FB OFF, V,-12.7,T605
506020_FOG_PWM Measure Frequency, Hz,0,T605
506030_FOG_PWM Measure Duty Cycle, %,0,T605
508006_Verify active Session, Dec,3,T605
508008_V_Enter EOL Mode, Dec,83352,T605
508009_V_FOG Set DC to 0%, Dec,83352,T605
505046_FOG_P0 LED Anode FB, V,-12.5,T605
505090_FOG LED Anode FB OFF, V,-12.7,T605
506020_FOG_PWM Measure Frequency, Hz,0,T605
506030_FOG_PWM Measure Duty Cycle, %,0,T605
502020_PCHK X400_3 LED_CATHODE, mA,37.34,C205
503020_LIN Voltage, V,.3131,C205
503025_Current Standby Measure, mA,4970.,C205
503030_ID Read SN, Dec,21474,C205
503130_ID Read Prog Platform, Dec,21474,C205
504012_AI_P0 Enter Programming Session, Dec,21474,C205
504014_Verify CRC by FBL, Dec,21474,C205
504016_AI_P0 Enter Default Session, Dec,21474,C205
504020_AI_P0 Enter Extended Session, Dec,21474,C205
504040_AI_P0 Enter EOL Mode, Dec,21474,C205
504070_AI_P0 Read Analog Inputs, Dec,21474,C205
504080_AI_P0 FOG Supply, V,9.999,C205
504090_AI_P0 Pull up FB, V,9.999,C205
504100_AI_P0 PCB Temperature, Dec,9.999,C205
504120_AI_P0 TEMP FOG, V,9.999,C205
504130_AI_P1 Read Analog Inputs, Dec,21474,C205
504140_AI_P1 TEMP FOG, V,9.999,C205
504150_AI_P2 Read Analog Inputs, Dec,21474,C205
504160_AI_P2 RCOD FOG, V,9.999,C205
504170_AI_P3 Read Analog Inputs, Dec,21474,C205
504180_AI_P1 RCOD FOG, V,9.999,C205
505002_FOG_P0 Set Min Current, Dec,21474,C205
505004_FOG_P0 Set DC to 100%, Dec,21474,C205
505010_FOG Measure I_Low, mA,8.379,C205
505020_FOG Measure V Anode, V,1.122,C205
506180_Clear DTC Request, Dec,127,C205
502020_PCHK X400_3 LED_CATHODE, mA,41.06,C205
503020_LIN Voltage, V,.3367,C205
503025_Current Standby Measure, mA,501.6,C205
503030_ID Read SN, Dec,21474,C205
503130_ID Read Prog Platform, Dec,21474,C205
505004_FOG_P0 Set DC to 100%, Dec,83352,C205
505010_FOG Measure I_Low, mA,7.693,C205
505040_FOG Measure V Diff, V,7.876,C205
505050_FOG Set Max Current, Dec,83352,C205
505065_FOG_P1 Measure I_Max, mA,7.761,C205
505070_FOG Set DC to 0%, Dec,83352,C205
506010_AI_P0 Set DC to 50%, Dec,83352,C205
506020_FOG_PWM Measure Frequency, Hz,25824,C205
506030_FOG_PWM Measure Duty Cycle, %,68.87,C205
506040_FOG  Set DC to 0%, Dec,83352,C205
506056_Write FOG Cal Parameter, Dec,83349,C205
506060_Set Green mode False, Dec,83349,C205
506070_Exit EOL Mode, Dec,83352,C205
506180_Clear DTC Request, Dec,127,C205
508020_Verify FOG Cal Parameter, Dec,1,C205
504100_AI_P0 PCB Temperature, Dec,-147,R408
506010_AI_P0 Set DC to 50%, Dec,21474,R408
504100_AI_P0 PCB Temperature, Dec,-147,R408
508006_Verify active Session, Dec,3,R408
508008_V_Enter EOL Mode, Dec,83352,R408
508009_V_FOG Set DC to 0%, Dec,83352,R408
504100_AI_P0 PCB Temperature, Dec,-147,R408
504100_AI_P0 PCB Temperature, Dec,-147,R408
504100_AI_P0 PCB Temperature, Dec,-147,R408
504100_AI_P0 PCB Temperature, Dec,-147,R408
504100_AI_P0 PCB Temperature, Dec,-147,R408
505010_FOG Measure I_Low, mA,3.082,R608
505010_FOG Measure I_Low, mA,3.060,R608
505010_FOG Measure I_Low, mA,2.959,R608
505010_FOG Measure I_Low, mA,2.896,R608
505010_FOG Measure I_Low, mA,2.913,R608
505010_FOG Measure I_Low, mA,4.612,R608
505010_FOG Measure I_Low, mA,4.491,R608
505010_FOG Measure I_Low, mA,4.609,R608
505010_FOG Measure I_Low, mA,4.813,R608
503030_ID Read SN, Dec,21474,R608
503030_ID Read SN, Dec,21474,R608
504100_AI_P0 PCB Temperature, Dec,-144,R408
504100_AI_P0 PCB Temperature, Dec,-144,R408
504100_AI_P0 PCB Temperature, Dec,-144,R408
504100_AI_P0 PCB Temperature, Dec,-144,R408
504100_AI_P0 PCB Temperature, Dec,-144,R408
504100_AI_P0 PCB Temperature, Dec,-144,R408
504100_AI P1 Read ADC PCB TEMP, Dec,609,R340
504100_AI P1 Read ADC PCB TEMP, Dec,607,R340
504100_AI P1 Read ADC PCB TEMP, Dec,611,R340
530030_CAL CH1 Voltage High FB, V,0,L1000
530030_CAL CH1 Voltage High FB, V,0,L1000
530030_CAL CH1 Voltage High FB, V,0,L1000
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0001,IC900
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4, V,.0000,IC900
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0002,IC900
500150_[A-01][A-09] PCHK 9A ANODE CHANNEL 4, mA,7.599,IC900
500390_[A-01][C-20] PCHK 20C ANODE CHANNEL 2, mA,5.663,IC900
501050_[A-01][A-07] LIN Voltage, A,.1290,IC900
503020_LIN Voltage, V,.0018,D401
503020_LIN Voltage, V,.0017,D401
503020_LIN Voltage, V,.0017,D401
503020_LIN Voltage, V,.0016,D401
503020_LIN Voltage, V,.0018,D401
503020_LIN Voltage, V,.0018,D401
505010_FOG Measure I_Low, mA,3.553,R615
505010_FOG Measure I_Low, mA,3.485,R615
505010_FOG Measure I_Low, mA,3.437,R615
505010_FOG Measure I_Low, mA,3.513,R615
505010_FOG Measure I_Low, mA,3.413,R615
505010_FOG Measure I_Low, mA,3.390,R615
505010_FOG Measure I_Low, mA,3.559,R615
505010_FOG Measure I_Low, mA,3.435,R615
505010_FOG Measure I_Low, mA,3.463,R615
505010_FOG Measure I_Low, mA,3.456,R615
505010_FOG Measure I_Low, mA,3.583,R615
505010_FOG Measure I_Low, mA,3.238,R615
505010_FOG Measure I_Low, mA,4.717,R615
505010_FOG Measure I_Low, mA,4.677,R615
505010_FOG Measure I_Low, mA,4.595,R615
505010_FOG Measure I_Low, mA,4.775,R615
505010_FOG Measure I_Low, mA,4.836,R615
505010_FOG Measure I_Low, mA,4.660,R615
505010_FOG Measure I_Low, mA,4.798,R615
505010_FOG Measure I_Low, mA,4.629,R615
505010_FOG Measure I_Low, mA,4.515,R615
503060_PS P0 HB Feedback, Dec,1023,R408
503060_PS P0 HB Feedback, Dec,1023,R408
503060_PS P0 HB Feedback, Dec,1023,R408
Displacement sensor, mm,.08,C1038
Displacement sensor, mm,.04,C1038
530030 CAL CH1 Voltage High FB, V,0,C1038
530040 CAL CH1 Voltage Meas Vf High, V,1.851,C1038
530120 CAL CH1 Voltage Low FB, V,0,C1038
530130 CAL CH1 Voltage Meas Vf Low, V,1.764,C1038
530030 CAL CH1 Voltage High FB, V,0,C1038
530040 CAL CH1 Voltage Meas Vf High, V,1.916,C1038
530120 CAL CH1 Voltage Low FB, V,0,C1038
530130 CAL CH1 Voltage Meas Vf Low, V,1.752,C1038
530030 CAL CH1 Voltage High FB, V,0,C1038
530040 CAL CH1 Voltage Meas Vf High, V,1.920,C1038
530120 CAL CH1 Voltage Low FB, V,0,C1038
530130 CAL CH1 Voltage Meas Vf Low, V,1.703,C1038
509010_BST CHK Phase 1, Dec,0,R104
509010_BST CHK Phase 1, Dec,0,R104
502010_EOL Change Session, Hex,21474,R104
505110_OC Meas Voltage SUPP_CTRL, V,1.421,D300
505112_OC Meas Voltage FRONT FOG CONTROL, V,1.421,D300
505113_OC Meas Voltage SM CONTROL, V,1.422,D300
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,1.419,D300
505142_OC Read ADC SUPP_CTRL, Dec,66,D300
505144_OC Read ADC SM CONTROL, Dec,66,D300
505146_OC Read ADC FRONT FOG CONTROL, Dec,66,D300
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,66,D300
505200_LCO P3 SUPP_CTRL Meas Vrms, V,1.057,D300
505250_OC PWM FRONT FOG CONTROL Meas Vrms, V,1.110,D300
505300_OC PWM SM CONTROL Meas Vrms, V,1.163,D300
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms, V,1.163,D300
509010_BST CHK Phase 1, Dec,0,D300
509030_BST CHK Phase 2, Dec,0,D300
509050_BST CHK Phase 3, Dec,0,D300
509070_BST CHK Phase 4, Dec,0,D300
530030_CAL CH1 Voltage High FB, V,0,D300
530040_CAL CH1 Voltage Meas Vf High, V,.0523,D300
530050_CAL CH2 Voltage High FB, V,0,D300
530060_CAL CH2 Voltage Meas Vf High, V,.0548,D300
530070_CAL CH3 Voltage High FB, V,0,D300
530080_CAL CH3 Voltage Meas Vf High, V,.0531,D300
530090_CAL CH4 Voltage High FB, V,0,D300
530100_CAL CH4 Voltage Meas Vf High, V,.0540,D300
530120_CAL CH1 Voltage Low FB, V,0,D300
530130_CAL CH1 Voltage Meas Vf Low, V,.0523,D300
530140_CAL CH2 Voltage Low FB, V,0,D300
530150_CAL CH2 Voltage Meas Vf Low, V,.0548,D300
530160_CAL CH3 Voltage Low FB, V,0,D300
530170_CAL CH3 Voltage Meas Vf Low, V,.0531,D300
530180_CAL CH4 Voltage Low FB, V,0,D300
530190_CAL CH4 Voltage Meas Vf Low, V,.0541,D300
505110_OC Meas Voltage SUPP_CTRL, V,1.423,D300
505112_OC Meas Voltage FRONT FOG CONTROL, V,1.422,D300
505113_OC Meas Voltage SM CONTROL, V,1.423,D300
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,1.420,D300
505142_OC Read ADC SUPP_CTRL, Dec,66,D300
505144_OC Read ADC SM CONTROL, Dec,66,D300
505146_OC Read ADC FRONT FOG CONTROL, Dec,66,D300
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,66,D300
505200_LCO P3 SUPP_CTRL Meas Vrms, V,1.036,D300
505250_OC PWM FRONT FOG CONTROL Meas Vrms, V,1.089,D300
505300_OC PWM SM CONTROL Meas Vrms, V,1.136,D300
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms, V,1.136,D300
509010_BST CHK Phase 1, Dec,0,D300
509030_BST CHK Phase 2, Dec,0,D300
509050_BST CHK Phase 3, Dec,0,D300
509070_BST CHK Phase 4, Dec,0,D300
530030_CAL CH1 Voltage High FB, V,0,D300
530040_CAL CH1 Voltage Meas Vf High, V,.0541,D300
530050_CAL CH2 Voltage High FB, V,0,D300
530060_CAL CH2 Voltage Meas Vf High, V,.0566,D300
530070_CAL CH3 Voltage High FB, V,0,D300
530080_CAL CH3 Voltage Meas Vf High, V,.0549,D300
530090_CAL CH4 Voltage High FB, V,0,D300
530100_CAL CH4 Voltage Meas Vf High, V,.0558,D300
530120_CAL CH1 Voltage Low FB, V,0,D300
530130_CAL CH1 Voltage Meas Vf Low, V,.0542,D300
530140_CAL CH2 Voltage Low FB, V,0,D300
530150_CAL CH2 Voltage Meas Vf Low, V,.0567,D300
530160_CAL CH3 Voltage Low FB, V,0,D300
530170_CAL CH3 Voltage Meas Vf Low, V,.0550,D300
530180_CAL CH4 Voltage Low FB, V,0,D300
530190_CAL CH4 Voltage Meas Vf Low, V,.0559,D300
505110_OC Meas Voltage SUPP_CTRL, V,1.421,D300
505112_OC Meas Voltage FRONT FOG CONTROL, V,1.421,D300
505113_OC Meas Voltage SM CONTROL, V,1.422,D300
505114_OC Meas Voltage LINCOLN STAR CONTROL, V,1.418,D300
505142_OC Read ADC SUPP_CTRL, Dec,66,D300
505144_OC Read ADC SM CONTROL, Dec,66,D300
505146_OC Read ADC FRONT FOG CONTROL, Dec,66,D300
505148_OC Read ADC LINCOLN STAR CONTROL, Dec,66,D300
505200_LCO P3 SUPP_CTRL Meas Vrms, V,1.033,D300
505250_OC PWM FRONT FOG CONTROL Meas Vrms, V,1.081,D300
505300_OC PWM SM CONTROL Meas Vrms, V,1.139,D300
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms, V,1.139,D300
509010_BST CHK Phase 1, Dec,0,D300
509030_BST CHK Phase 2, Dec,0,D300
509050_BST CHK Phase 3, Dec,0,D300
509070_BST CHK Phase 4, Dec,0,D300
530030_CAL CH1 Voltage High FB, V,0,D300
530040_CAL CH1 Voltage Meas Vf High, V,.0542,D300
530050_CAL CH2 Voltage High FB, V,0,D300
530060_CAL CH2 Voltage Meas Vf High, V,.0566,D300
530070_CAL CH3 Voltage High FB, V,0,D300
530080_CAL CH3 Voltage Meas Vf High, V,.0550,D300
530090_CAL CH4 Voltage High FB, V,0,D300
530100_CAL CH4 Voltage Meas Vf High, V,.0559,D300
530120_CAL CH1 Voltage Low FB, V,0,D300
530130_CAL CH1 Voltage Meas Vf Low, V,.0542,D300
530140_CAL CH2 Voltage Low FB, V,0,D300
530150_CAL CH2 Voltage Meas Vf Low, V,.0566,D300
530160_CAL CH3 Voltage Low FB, V,0,D300
530170_CAL CH3 Voltage Meas Vf Low, V,.0550,D300
530180_CAL CH4 Voltage Low FB, V,0,D300
530190_CAL CH4 Voltage Meas Vf Low, V,.0559,D300
521270_Verify CH2 Check V_FB, V,13.39,T300
521270_Verify CH2 Check V_FB, V,13.35,T300
521270_Verify CH2 Check V_FB, V,13.47,T300
521270_Verify CH2 Check V_FB, V,12.99,T300
521370_Verify CH3 Check V_FB, V,11.96,T300
shorts,U,0,R104
509010_BST CHK Phase 1, Dec,0,R104
509030_BST CHK Phase 2, Dec,0,R104
509070_BST CHK Phase 4, Dec,0,R104
530030_CAL CH1 Voltage High FB, V,0,R104
530040_CAL CH1 Voltage Meas Vf High, V,.0513,R104
530050_CAL CH2 Voltage High FB, V,0,R104
530060_CAL CH2 Voltage Meas Vf High, V,.0525,R104
530070_CAL CH3 Voltage High FB, V,0,R104
530080_CAL CH3 Voltage Meas Vf High, V,.0515,R104
530090_CAL CH4 Voltage High FB, V,0,R104
530100_CAL CH4 Voltage Meas Vf High, V,.0510,R104
530120_CAL CH1 Voltage Low FB, V,0,R104
530130_CAL CH1 Voltage Meas Vf Low, V,.0514,R104
530140_CAL CH2 Voltage Low FB, V,0,R104
530150_CAL CH2 Voltage Meas Vf Low, V,.0526,R104
530160_CAL CH3 Voltage Low FB, V,0,R104
530170_CAL CH3 Voltage Meas Vf Low, V,.0515,R104
530180_CAL CH4 Voltage Low FB, V,0,R104
530190_CAL CH4 Voltage Meas Vf Low, V,.0511,R104
509010_BST CHK Phase 1, Dec,0,R104
509030_BST CHK Phase 2, Dec,0,R104
509070_BST CHK Phase 4, Dec,0,R104
530030_CAL CH1 Voltage High FB, V,0,R104
530040_CAL CH1 Voltage Meas Vf High, V,.0512,R104
530050_CAL CH2 Voltage High FB, V,0,R104
530060_CAL CH2 Voltage Meas Vf High, V,.0524,R104
530070_CAL CH3 Voltage High FB, V,0,R104
530080_CAL CH3 Voltage Meas Vf High, V,.0517,R104
530090_CAL CH4 Voltage High FB, V,0,R104
530100_CAL CH4 Voltage Meas Vf High, V,.0512,R104
530120_CAL CH1 Voltage Low FB, V,0,R104
530130_CAL CH1 Voltage Meas Vf Low, V,.0514,R104
530140_CAL CH2 Voltage Low FB, V,0,R104
530150_CAL CH2 Voltage Meas Vf Low, V,.0528,R104
530160_CAL CH3 Voltage Low FB, V,0,R104
530170_CAL CH3 Voltage Meas Vf Low, V,.0517,R104
530180_CAL CH4 Voltage Low FB, V,0,R104
530190_CAL CH4 Voltage Meas Vf Low, V,.0515,R104
53540 DTRL1 Patt2 Voltage, V,7.635,R1436
53540 DTRL1 Patt2 Voltage, V,7.636,R1436
53540 DTRL1 Patt2 Voltage, V,7.625,R1436
500230_[A-01][A-21] PCHK 21A POWER SUPPLY TI, mA,38.28,C437
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY LB, V,2.696,C437
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY HB, V,2.638,C437
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,1.243,C437
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY DTRL, V,2.634,C437
501050_[A-01][A-07] LIN Voltage, V,.9524,C437
501060_Read SW Version, Hex,21474,C437
500230_[A-01][A-21] PCHK 21A POWER SUPPLY TI, mA,32.09,C437
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY LB, V,2.938,C437
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY HB, V,2.909,C437
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,1.429,C437
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY DTRL, V,2.889,C437
501050_[A-01][A-07] LIN Voltage, V,.7081,C437
501060_Read SW Version, Hex,21474,C437
55170 DTRL2 String2 Anode Voltage, V,38.78,T116
55170 DTRL2 String2 Anode Voltage, V,38.72,T116
55270 AI_DTRL2_CT1 ADC High, Dec,1,T116
504010 AI P0 Read ADC NTC-LB, Dec,0,T300
504020 AI P0 Read ADC NTC-HB, Dec,0,T300
504030 AI P0 Read ADC NTC-DRL, Dec,0,T300
504040 AI P0 Read ADC NTC-TI, Dec,0,T300
504050 AI P0 Read ADC BINNING-LB, Dec,0,T300
504060 AI P0 Read ADC BINNING-DTRL, Dec,0,T300
504070 AI P0 Read ADC BINNING-TI, Dec,0,T300
504080 AI P1 Read ADC NTC-LB, Dec,0,T300
504090 AI P1 Read ADC NTC-HB, Dec,0,T300
504100 AI P1 Read ADC NTC-DRL, Dec,0,T300
504110 AI P1 Read ADC NTC-TI, Dec,0,T300
504120 AI P1 Read ADC BINNING-LB, Dec,0,T300
504130 AI P1 Read ADC BINNING-DRL, Dec,0,T300
504140 AI P1 Read ADC BINNING-TI, Dec,0,T300
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,0,T300
504160 AI P1 Read ADC TEMP REF, Dec,0,T300
504010 AI P0 Read ADC NTC-LB, Dec,0,T300
504020 AI P0 Read ADC NTC-HB, Dec,0,T300
504030 AI P0 Read ADC NTC-DRL, Dec,0,T300
504040 AI P0 Read ADC NTC-TI, Dec,0,T300
504050 AI P0 Read ADC BINNING-LB, Dec,0,T300
504060 AI P0 Read ADC BINNING-DTRL, Dec,0,T300
504070 AI P0 Read ADC BINNING-TI, Dec,0,T300
504080 AI P1 Read ADC NTC-LB, Dec,0,T300
504090 AI P1 Read ADC NTC-HB, Dec,0,T300
504100 AI P1 Read ADC NTC-DRL, Dec,0,T300
504110 AI P1 Read ADC NTC-TI, Dec,0,T300
504120 AI P1 Read ADC BINNING-LB, Dec,0,T300
504130 AI P1 Read ADC BINNING-DRL, Dec,0,T300
504140 AI P1 Read ADC BINNING-TI, Dec,0,T300
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,0,T300
504160 AI P1 Read ADC TEMP REF, Dec,0,T300
504010 AI P0 Read ADC NTC-LB, Dec,0,T300
504020 AI P0 Read ADC NTC-HB, Dec,0,T300
504030 AI P0 Read ADC NTC-DRL, Dec,0,T300
504040 AI P0 Read ADC NTC-TI, Dec,0,T300
504050 AI P0 Read ADC BINNING-LB, Dec,0,T300
504060 AI P0 Read ADC BINNING-DTRL, Dec,0,T300
504070 AI P0 Read ADC BINNING-TI, Dec,0,T300
504080 AI P1 Read ADC NTC-LB, Dec,0,T300
504090 AI P1 Read ADC NTC-HB, Dec,0,T300
504100 AI P1 Read ADC NTC-DRL, Dec,0,T300
504110 AI P1 Read ADC NTC-TI, Dec,0,T300
504120 AI P1 Read ADC BINNING-LB, Dec,0,T300
504130 AI P1 Read ADC BINNING-DRL, Dec,0,T300
504140 AI P1 Read ADC BINNING-TI, Dec,0,T300
504150 AI P1 Read ADC PCB TEMP Normal Temperature, Dec,0,T300
504160 AI P1 Read ADC TEMP REF, Dec,0,T300
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0001,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI, V,.0000,C1003
50120 IDENT Read Serial Number,Hex,0,IC100
50120 IDENT Read Serial Number,Hex,0,IC100
50120 IDENT Read Serial Number,Hex,0,IC100
503010_PS P0 Variant Detect Combo, Hex,0,R206
503010_PS P0 Variant Detect Combo, Hex,0,R206
503010_PS P0 Variant Detect Combo, Hex,0,R206
501060_Read SW Version, Hex,21474,T1000
530030_CAL CH1 Voltage High FB, V,0,T1000
530040_CAL CH1 Voltage Meas Vf High, V,.3691,T1000
530120_CAL CH1 Voltage Low FB, V,0,T1000
530130_CAL CH1 Voltage Meas Vf Low, V,.3292,T1000
501060_Read SW Version, Hex,21474,T1000
521610_Leakage 8A ANODESBL2/3+SLB4/5, mA,9.999,T1000
521620_Leakage 9A ANODE CHANNEL 4, mA,9.999,T1000
521630_Leakage 20C ANODE CHANNEL 2, mA,9.999,T1000
521640_Leakage 22C ANODE CHANNEL 1, mA,9.999,T1000
530030_CAL CH1 Voltage High FB, V,0,T1000
530040_CAL CH1 Voltage Meas Vf High, V,.4289,T1000
530120_CAL CH1 Voltage Low FB, V,0,T1000
530130_CAL CH1 Voltage Meas Vf Low, V,.2877,T1000
505010_FOG Measure I_Low, mA,4.806,R608
505010_FOG Measure I_Low, mA,4.833,R608
506056_Write FOG Cal Parameter, Dec,83348,R608
506060_Set Green mode False, Dec,83348,R608
506180_Clear DTC Request, Dec,127,R608
