TestDescription,Value,Component
505280_OC PWM SM CONTROL Meas Freq,0,D2300
505290_OC PWM SM CONTROL Meas Duty Cycle,0,D2300
505300_OC PWM SM CONTROL Meas Vrms,.0791,D2300
505330_OC PWM LINCOLN STAR CONTROL Meas Freq,0,D2300
505340_OC PWM LINCOLN STAR CONTROL Meas Duty Cycle,0,D2300
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms,.0791,D2300
503010_PS P0 Variant Detect Combo,0,R206
503010_PS P0 Variant Detect Combo,0,R206
505112_OC Meas Voltage FRONT FOG CONTROL,.0036,R2404
505146_OC Read ADC FRONT FOG CONTROL,0,R2404
505230_OC PWM FRONT FOG CONTROL Meas Freq,0,R2404
505240_OC PWM FRONT FOG CONTROL Meas Duty Cycle,0,R2404
505250_OC PWM FRONT FOG CONTROL Meas Vrms,0,R2404
505112_OC Meas Voltage FRONT FOG CONTROL,.0036,R2404
505146_OC Read ADC FRONT FOG CONTROL,0,R2404
505230_OC PWM FRONT FOG CONTROL Meas Freq,0,R2404
505240_OC PWM FRONT FOG CONTROL Meas Duty Cycle,0,R2404
505250_OC PWM FRONT FOG CONTROL Meas Vrms,0,R2404
505112_OC Meas Voltage FRONT FOG CONTROL,.0035,R2404
505146_OC Read ADC FRONT FOG CONTROL,0,R2404
505230_OC PWM FRONT FOG CONTROL Meas Freq,0,R2404
505240_OC PWM FRONT FOG CONTROL Meas Duty Cycle,0,R2404
505250_OC PWM FRONT FOG CONTROL Meas Vrms,0,R2404
503020_LIN Voltage,3.839,D401
503020_LIN Voltage,3.401,D401
503110_ID Read Ford PN,21474,D401
504010_PS P0 Calibrate FogADC,1.326,D401
504160_AI_P2 RCOD FOG,1.484,D401
c115,79.99,C624
503025_Current Standby Measure,134.7,C624
505010_FOG Measure I_Low,7.535,C624
505020_FOG Measure V Anode,13.94,C624
505010_FOG Measure I_Low,7.485,C624
505020_FOG Measure V Anode,13.91,C624
505010_FOG Measure I_Low,6.196,C624
505020_FOG Measure V Anode,13.90,C624
505010_FOG Measure I_Low,9.135,C220
505020_FOG Measure V Anode,15.06,C220
505010_FOG Measure I_Low,9.453,C220
505020_FOG Measure V Anode,18.80,C220
505010_FOG Measure I_Low,8.855,C220
505046_FOG_P0 LED Anode FB,-12.5,T605
505090_FOG LED Anode FB OFF,-12.8,T605
506020_FOG_PWM Measure Frequency,0,T605
506030_FOG_PWM Measure Duty Cycle,0,T605
505046_FOG_P0 LED Anode FB,-12.5,T605
505090_FOG LED Anode FB OFF,-12.7,T605
506020_FOG_PWM Measure Frequency,0,T605
506030_FOG_PWM Measure Duty Cycle,0,T605
505046_FOG_P0 LED Anode FB,-12.5,T605
505090_FOG LED Anode FB OFF,-12.7,T605
505046_FOG_P0 LED Anode FB,-12.5,T605
505090_FOG LED Anode FB OFF,-12.7,T605
506020_FOG_PWM Measure Frequency,0,T605
506030_FOG_PWM Measure Duty Cycle,0,T605
505046_FOG_P0 LED Anode FB,-12.5,T605
505090_FOG LED Anode FB OFF,-12.7,T605
506020_FOG_PWM Measure Frequency,0,T605
506030_FOG_PWM Measure Duty Cycle,0,T605
505046_FOG_P0 LED Anode FB,-12.5,T605
505090_FOG LED Anode FB OFF,-12.7,T605
506020_FOG_PWM Measure Frequency,0,T605
506030_FOG_PWM Measure Duty Cycle,0,T605
508006_Verify active Session,3,T605
508008_V_Enter EOL Mode,83352,T605
508009_V_FOG Set DC to 0%,83352,T605
505046_FOG_P0 LED Anode FB,-12.5,T605
505090_FOG LED Anode FB OFF,-12.7,T605
506020_FOG_PWM Measure Frequency,0,T605
506030_FOG_PWM Measure Duty Cycle,0,T605
502020_PCHK X400_3 LED_CATHODE,37.34,C205
503020_LIN Voltage,.3131,C205
503025_Current Standby Measure,4970.,C205
503030_ID Read SN,21474,C205
503130_ID Read Prog Platform,21474,C205
504012_AI_P0 Enter Programming Session,21474,C205
504014_Verify CRC by FBL,21474,C205
504016_AI_P0 Enter Default Session,21474,C205
504020_AI_P0 Enter Extended Session,21474,C205
504040_AI_P0 Enter EOL Mode,21474,C205
504070_AI_P0 Read Analog Inputs,21474,C205
504080_AI_P0 FOG Supply,9.999,C205
504090_AI_P0 Pull up FB,9.999,C205
504100_AI_P0 PCB Temperature,9.999,C205
504120_AI_P0 TEMP FOG,9.999,C205
504130_AI_P1 Read Analog Inputs,21474,C205
504140_AI_P1 TEMP FOG,9.999,C205
504150_AI_P2 Read Analog Inputs,21474,C205
504160_AI_P2 RCOD FOG,9.999,C205
504170_AI_P3 Read Analog Inputs,21474,C205
504180_AI_P1 RCOD FOG,9.999,C205
505002_FOG_P0 Set Min Current,21474,C205
505004_FOG_P0 Set DC to 100%,21474,C205
505010_FOG Measure I_Low,8.379,C205
505020_FOG Measure V Anode,1.122,C205
506180_Clear DTC Request,127,C205
502020_PCHK X400_3 LED_CATHODE,41.06,C205
503020_LIN Voltage,.3367,C205
503025_Current Standby Measure,501.6,C205
503030_ID Read SN,21474,C205
503130_ID Read Prog Platform,21474,C205
505004_FOG_P0 Set DC to 100%,83352,C205
505010_FOG Measure I_Low,7.693,C205
505040_FOG Measure V Diff,7.876,C205
505050_FOG Set Max Current,83352,C205
505065_FOG_P1 Measure I_Max,7.761,C205
505070_FOG Set DC to 0%,83352,C205
506010_AI_P0 Set DC to 50%,83352,C205
506020_FOG_PWM Measure Frequency,25824,C205
506030_FOG_PWM Measure Duty Cycle,68.87,C205
506040_FOG  Set DC to 0%,83352,C205
506056_Write FOG Cal Parameter,83349,C205
506060_Set Green mode False,83349,C205
506070_Exit EOL Mode,83352,C205
506180_Clear DTC Request,127,C205
508020_Verify FOG Cal Parameter,1,C205
504100_AI_P0 PCB Temperature,-147,R408
506010_AI_P0 Set DC to 50%,21474,R408
504100_AI_P0 PCB Temperature,-147,R408
508006_Verify active Session,3,R408
508008_V_Enter EOL Mode,83352,R408
508009_V_FOG Set DC to 0%,83352,R408
504100_AI_P0 PCB Temperature,-147,R408
504100_AI_P0 PCB Temperature,-147,R408
504100_AI_P0 PCB Temperature,-147,R408
504100_AI_P0 PCB Temperature,-147,R408
504100_AI_P0 PCB Temperature,-147,R408
505010_FOG Measure I_Low,3.082,R608
505010_FOG Measure I_Low,3.060,R608
505010_FOG Measure I_Low,2.959,R608
505010_FOG Measure I_Low,2.896,R608
505010_FOG Measure I_Low,2.913,R608
505010_FOG Measure I_Low,4.612,R608
505010_FOG Measure I_Low,4.491,R608
505010_FOG Measure I_Low,4.609,R608
505010_FOG Measure I_Low,4.813,R608
503030_ID Read SN,21474,R608
503030_ID Read SN,21474,R608
504100_AI_P0 PCB Temperature,-144,R408
504100_AI_P0 PCB Temperature,-144,R408
504100_AI_P0 PCB Temperature,-144,R408
504100_AI_P0 PCB Temperature,-144,R408
504100_AI_P0 PCB Temperature,-144,R408
504100_AI_P0 PCB Temperature,-144,R408
504100_AI P1 Read ADC PCB TEMP,609,R340
504100_AI P1 Read ADC PCB TEMP,607,R340
504100_AI P1 Read ADC PCB TEMP,611,R340
530030_CAL CH1 Voltage High FB,0,L1000
530030_CAL CH1 Voltage High FB,0,L1000
530030_CAL CH1 Voltage High FB,0,L1000
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0001,IC900
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,IC900
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0002,IC900
500150_[A-01][A-09] PCHK 9A ANODE CHANNEL 4,7.599,IC900
500390_[A-01][C-20] PCHK 20C ANODE CHANNEL 2,5.663,IC900
501050_[A-01][A-07] LIN Voltage,.1290,IC900
503020_LIN Voltage,.0018,D401
503020_LIN Voltage,.0017,D401
503020_LIN Voltage,.0017,D401
503020_LIN Voltage,.0016,D401
503020_LIN Voltage,.0018,D401
503020_LIN Voltage,.0018,D401
505010_FOG Measure I_Low,3.553,R615
505010_FOG Measure I_Low,3.485,R615
505010_FOG Measure I_Low,3.437,R615
505010_FOG Measure I_Low,3.513,R615
505010_FOG Measure I_Low,3.413,R615
505010_FOG Measure I_Low,3.390,R615
505010_FOG Measure I_Low,3.559,R615
505010_FOG Measure I_Low,3.435,R615
505010_FOG Measure I_Low,3.463,R615
505010_FOG Measure I_Low,3.456,R615
505010_FOG Measure I_Low,3.583,R615
505010_FOG Measure I_Low,3.238,R615
505010_FOG Measure I_Low,4.717,R615
505010_FOG Measure I_Low,4.677,R615
505010_FOG Measure I_Low,4.595,R615
505010_FOG Measure I_Low,4.775,R615
505010_FOG Measure I_Low,4.836,R615
505010_FOG Measure I_Low,4.660,R615
505010_FOG Measure I_Low,4.798,R615
505010_FOG Measure I_Low,4.629,R615
505010_FOG Measure I_Low,4.515,R615
503060_PS P0 HB Feedback,1023,R408
503060_PS P0 HB Feedback,1023,R408
503060_PS P0 HB Feedback,1023,R408
Displacement sensor,.08,C1038
Displacement sensor,.04,C1038
530030 CAL CH1 Voltage High FB,0,C1038
530040 CAL CH1 Voltage Meas Vf High,1.851,C1038
530120 CAL CH1 Voltage Low FB,0,C1038
530130 CAL CH1 Voltage Meas Vf Low,1.764,C1038
530030 CAL CH1 Voltage High FB,0,C1038
530040 CAL CH1 Voltage Meas Vf High,1.916,C1038
530120 CAL CH1 Voltage Low FB,0,C1038
530130 CAL CH1 Voltage Meas Vf Low,1.752,C1038
530030 CAL CH1 Voltage High FB,0,C1038
530040 CAL CH1 Voltage Meas Vf High,1.920,C1038
530120 CAL CH1 Voltage Low FB,0,C1038
530130 CAL CH1 Voltage Meas Vf Low,1.703,C1038
509010_BST CHK Phase 1,0,R104
509010_BST CHK Phase 1,0,R104
502010_EOL Change Session,21474,R104
505110_OC Meas Voltage SUPP_CTRL,1.421,D300
505112_OC Meas Voltage FRONT FOG CONTROL,1.421,D300
505113_OC Meas Voltage SM CONTROL,1.422,D300
505114_OC Meas Voltage LINCOLN STAR CONTROL,1.419,D300
505142_OC Read ADC SUPP_CTRL,66,D300
505144_OC Read ADC SM CONTROL,66,D300
505146_OC Read ADC FRONT FOG CONTROL,66,D300
505148_OC Read ADC LINCOLN STAR CONTROL,66,D300
505200_LCO P3 SUPP_CTRL Meas Vrms,1.057,D300
505250_OC PWM FRONT FOG CONTROL Meas Vrms,1.110,D300
505300_OC PWM SM CONTROL Meas Vrms,1.163,D300
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms,1.163,D300
509010_BST CHK Phase 1,0,D300
509030_BST CHK Phase 2,0,D300
509050_BST CHK Phase 3,0,D300
509070_BST CHK Phase 4,0,D300
530030_CAL CH1 Voltage High FB,0,D300
530040_CAL CH1 Voltage Meas Vf High,.0523,D300
530050_CAL CH2 Voltage High FB,0,D300
530060_CAL CH2 Voltage Meas Vf High,.0548,D300
530070_CAL CH3 Voltage High FB,0,D300
530080_CAL CH3 Voltage Meas Vf High,.0531,D300
530090_CAL CH4 Voltage High FB,0,D300
530100_CAL CH4 Voltage Meas Vf High,.0540,D300
530120_CAL CH1 Voltage Low FB,0,D300
530130_CAL CH1 Voltage Meas Vf Low,.0523,D300
530140_CAL CH2 Voltage Low FB,0,D300
530150_CAL CH2 Voltage Meas Vf Low,.0548,D300
530160_CAL CH3 Voltage Low FB,0,D300
530170_CAL CH3 Voltage Meas Vf Low,.0531,D300
530180_CAL CH4 Voltage Low FB,0,D300
530190_CAL CH4 Voltage Meas Vf Low,.0541,D300
505110_OC Meas Voltage SUPP_CTRL,1.423,D300
505112_OC Meas Voltage FRONT FOG CONTROL,1.422,D300
505113_OC Meas Voltage SM CONTROL,1.423,D300
505114_OC Meas Voltage LINCOLN STAR CONTROL,1.420,D300
505142_OC Read ADC SUPP_CTRL,66,D300
505144_OC Read ADC SM CONTROL,66,D300
505146_OC Read ADC FRONT FOG CONTROL,66,D300
505148_OC Read ADC LINCOLN STAR CONTROL,66,D300
505200_LCO P3 SUPP_CTRL Meas Vrms,1.036,D300
505250_OC PWM FRONT FOG CONTROL Meas Vrms,1.089,D300
505300_OC PWM SM CONTROL Meas Vrms,1.136,D300
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms,1.136,D300
509010_BST CHK Phase 1,0,D300
509030_BST CHK Phase 2,0,D300
509050_BST CHK Phase 3,0,D300
509070_BST CHK Phase 4,0,D300
530030_CAL CH1 Voltage High FB,0,D300
530040_CAL CH1 Voltage Meas Vf High,.0541,D300
530050_CAL CH2 Voltage High FB,0,D300
530060_CAL CH2 Voltage Meas Vf High,.0566,D300
530070_CAL CH3 Voltage High FB,0,D300
530080_CAL CH3 Voltage Meas Vf High,.0549,D300
530090_CAL CH4 Voltage High FB,0,D300
530100_CAL CH4 Voltage Meas Vf High,.0558,D300
530120_CAL CH1 Voltage Low FB,0,D300
530130_CAL CH1 Voltage Meas Vf Low,.0542,D300
530140_CAL CH2 Voltage Low FB,0,D300
530150_CAL CH2 Voltage Meas Vf Low,.0567,D300
530160_CAL CH3 Voltage Low FB,0,D300
530170_CAL CH3 Voltage Meas Vf Low,.0550,D300
530180_CAL CH4 Voltage Low FB,0,D300
530190_CAL CH4 Voltage Meas Vf Low,.0559,D300
505110_OC Meas Voltage SUPP_CTRL,1.421,D300
505112_OC Meas Voltage FRONT FOG CONTROL,1.421,D300
505113_OC Meas Voltage SM CONTROL,1.422,D300
505114_OC Meas Voltage LINCOLN STAR CONTROL,1.418,D300
505142_OC Read ADC SUPP_CTRL,66,D300
505144_OC Read ADC SM CONTROL,66,D300
505146_OC Read ADC FRONT FOG CONTROL,66,D300
505148_OC Read ADC LINCOLN STAR CONTROL,66,D300
505200_LCO P3 SUPP_CTRL Meas Vrms,1.033,D300
505250_OC PWM FRONT FOG CONTROL Meas Vrms,1.081,D300
505300_OC PWM SM CONTROL Meas Vrms,1.139,D300
505350_OC PWM LINCOLN STAR CONTROL Meas Vrms,1.139,D300
509010_BST CHK Phase 1,0,D300
509030_BST CHK Phase 2,0,D300
509050_BST CHK Phase 3,0,D300
509070_BST CHK Phase 4,0,D300
530030_CAL CH1 Voltage High FB,0,D300
530040_CAL CH1 Voltage Meas Vf High,.0542,D300
530050_CAL CH2 Voltage High FB,0,D300
530060_CAL CH2 Voltage Meas Vf High,.0566,D300
530070_CAL CH3 Voltage High FB,0,D300
530080_CAL CH3 Voltage Meas Vf High,.0550,D300
530090_CAL CH4 Voltage High FB,0,D300
530100_CAL CH4 Voltage Meas Vf High,.0559,D300
530120_CAL CH1 Voltage Low FB,0,D300
530130_CAL CH1 Voltage Meas Vf Low,.0542,D300
530140_CAL CH2 Voltage Low FB,0,D300
530150_CAL CH2 Voltage Meas Vf Low,.0566,D300
530160_CAL CH3 Voltage Low FB,0,D300
530170_CAL CH3 Voltage Meas Vf Low,.0550,D300
530180_CAL CH4 Voltage Low FB,0,D300
530190_CAL CH4 Voltage Meas Vf Low,.0559,D300
521270_Verify CH2 Check V_FB,13.39,T300
521270_Verify CH2 Check V_FB,13.35,T300
521270_Verify CH2 Check V_FB,13.47,T300
521270_Verify CH2 Check V_FB,12.99,T300
521370_Verify CH3 Check V_FB,11.96,T300
shorts,0,R104
509010_BST CHK Phase 1,0,R104
509030_BST CHK Phase 2,0,R104
509070_BST CHK Phase 4,0,R104
530030_CAL CH1 Voltage High FB,0,R104
530040_CAL CH1 Voltage Meas Vf High,.0513,R104
530050_CAL CH2 Voltage High FB,0,R104
530060_CAL CH2 Voltage Meas Vf High,.0525,R104
530070_CAL CH3 Voltage High FB,0,R104
530080_CAL CH3 Voltage Meas Vf High,.0515,R104
530090_CAL CH4 Voltage High FB,0,R104
530100_CAL CH4 Voltage Meas Vf High,.0510,R104
530120_CAL CH1 Voltage Low FB,0,R104
530130_CAL CH1 Voltage Meas Vf Low,.0514,R104
530140_CAL CH2 Voltage Low FB,0,R104
530150_CAL CH2 Voltage Meas Vf Low,.0526,R104
530160_CAL CH3 Voltage Low FB,0,R104
530170_CAL CH3 Voltage Meas Vf Low,.0515,R104
530180_CAL CH4 Voltage Low FB,0,R104
530190_CAL CH4 Voltage Meas Vf Low,.0511,R104
509010_BST CHK Phase 1,0,R104
509030_BST CHK Phase 2,0,R104
509070_BST CHK Phase 4,0,R104
530030_CAL CH1 Voltage High FB,0,R104
530040_CAL CH1 Voltage Meas Vf High,.0512,R104
530050_CAL CH2 Voltage High FB,0,R104
530060_CAL CH2 Voltage Meas Vf High,.0524,R104
530070_CAL CH3 Voltage High FB,0,R104
530080_CAL CH3 Voltage Meas Vf High,.0517,R104
530090_CAL CH4 Voltage High FB,0,R104
530100_CAL CH4 Voltage Meas Vf High,.0512,R104
530120_CAL CH1 Voltage Low FB,0,R104
530130_CAL CH1 Voltage Meas Vf Low,.0514,R104
530140_CAL CH2 Voltage Low FB,0,R104
530150_CAL CH2 Voltage Meas Vf Low,.0528,R104
530160_CAL CH3 Voltage Low FB,0,R104
530170_CAL CH3 Voltage Meas Vf Low,.0517,R104
530180_CAL CH4 Voltage Low FB,0,R104
530190_CAL CH4 Voltage Meas Vf Low,.0515,R104
53540 DTRL1 Patt2 Voltage,7.635,R1436
53540 DTRL1 Patt2 Voltage,7.636,R1436
53540 DTRL1 Patt2 Voltage,7.625,R1436
500230_[A-01][A-21] PCHK 21A POWER SUPPLY TI,38.28,C437
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY LB,2.696,C437
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY HB,2.638,C437
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,1.243,C437
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY DTRL,2.634,C437
501050_[A-01][A-07] LIN Voltage,.9524,C437
501060_Read SW Version,21474,C437
500230_[A-01][A-21] PCHK 21A POWER SUPPLY TI,32.09,C437
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY LB,2.938,C437
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY HB,2.909,C437
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,1.429,C437
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY DTRL,2.889,C437
501050_[A-01][A-07] LIN Voltage,.7081,C437
501060_Read SW Version,21474,C437
55170 DTRL2 String2 Anode Voltage,38.78,T116
55170 DTRL2 String2 Anode Voltage,38.72,T116
55270 AI_DTRL2_CT1 ADC High,1,T116
504010 AI P0 Read ADC NTC-LB,0,T300
504020 AI P0 Read ADC NTC-HB,0,T300
504030 AI P0 Read ADC NTC-DRL,0,T300
504040 AI P0 Read ADC NTC-TI,0,T300
504050 AI P0 Read ADC BINNING-LB,0,T300
504060 AI P0 Read ADC BINNING-DTRL,0,T300
504070 AI P0 Read ADC BINNING-TI,0,T300
504080 AI P1 Read ADC NTC-LB,0,T300
504090 AI P1 Read ADC NTC-HB,0,T300
504100 AI P1 Read ADC NTC-DRL,0,T300
504110 AI P1 Read ADC NTC-TI,0,T300
504120 AI P1 Read ADC BINNING-LB,0,T300
504130 AI P1 Read ADC BINNING-DRL,0,T300
504140 AI P1 Read ADC BINNING-TI,0,T300
504150 AI P1 Read ADC PCB TEMP Normal Temperature,0,T300
504160 AI P1 Read ADC TEMP REF,0,T300
504010 AI P0 Read ADC NTC-LB,0,T300
504020 AI P0 Read ADC NTC-HB,0,T300
504030 AI P0 Read ADC NTC-DRL,0,T300
504040 AI P0 Read ADC NTC-TI,0,T300
504050 AI P0 Read ADC BINNING-LB,0,T300
504060 AI P0 Read ADC BINNING-DTRL,0,T300
504070 AI P0 Read ADC BINNING-TI,0,T300
504080 AI P1 Read ADC NTC-LB,0,T300
504090 AI P1 Read ADC NTC-HB,0,T300
504100 AI P1 Read ADC NTC-DRL,0,T300
504110 AI P1 Read ADC NTC-TI,0,T300
504120 AI P1 Read ADC BINNING-LB,0,T300
504130 AI P1 Read ADC BINNING-DRL,0,T300
504140 AI P1 Read ADC BINNING-TI,0,T300
504150 AI P1 Read ADC PCB TEMP Normal Temperature,0,T300
504160 AI P1 Read ADC TEMP REF,0,T300
504010 AI P0 Read ADC NTC-LB,0,T300
504020 AI P0 Read ADC NTC-HB,0,T300
504030 AI P0 Read ADC NTC-DRL,0,T300
504040 AI P0 Read ADC NTC-TI,0,T300
504050 AI P0 Read ADC BINNING-LB,0,T300
504060 AI P0 Read ADC BINNING-DTRL,0,T300
504070 AI P0 Read ADC BINNING-TI,0,T300
504080 AI P1 Read ADC NTC-LB,0,T300
504090 AI P1 Read ADC NTC-HB,0,T300
504100 AI P1 Read ADC NTC-DRL,0,T300
504110 AI P1 Read ADC NTC-TI,0,T300
504120 AI P1 Read ADC BINNING-LB,0,T300
504130 AI P1 Read ADC BINNING-DRL,0,T300
504140 AI P1 Read ADC BINNING-TI,0,T300
504150 AI P1 Read ADC PCB TEMP Normal Temperature,0,T300
504160 AI P1 Read ADC TEMP REF,0,T300
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0001,C1003
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C1003
50120 IDENT Read Serial Number,0,IC100
50120 IDENT Read Serial Number,0,IC100
50120 IDENT Read Serial Number,0,IC100
503010_PS P0 Variant Detect Combo,0,R206
503010_PS P0 Variant Detect Combo,0,R206
503010_PS P0 Variant Detect Combo,0,R206
501060_Read SW Version,21474,T1000
530030_CAL CH1 Voltage High FB,0,T1000
530040_CAL CH1 Voltage Meas Vf High,.3691,T1000
530120_CAL CH1 Voltage Low FB,0,T1000
530130_CAL CH1 Voltage Meas Vf Low,.3292,T1000
501060_Read SW Version,21474,T1000
521610_Leakage 8A ANODESBL2/3+SLB4/5,9.999,T1000
521620_Leakage 9A ANODE CHANNEL 4,9.999,T1000
521630_Leakage 20C ANODE CHANNEL 2,9.999,T1000
521640_Leakage 22C ANODE CHANNEL 1,9.999,T1000
530030_CAL CH1 Voltage High FB,0,T1000
530040_CAL CH1 Voltage Meas Vf High,.4289,T1000
530120_CAL CH1 Voltage Low FB,0,T1000
530130_CAL CH1 Voltage Meas Vf Low,.2877,T1000
505010_FOG Measure I_Low,4.806,R608
505010_FOG Measure I_Low,4.833,R608
506056_Write FOG Cal Parameter,83348,R608
506060_Set Green mode False,83348,R608
506180_Clear DTC Request,127,R608
508020_Verify FOG Cal Parameter,-1,R608
506056_Write FOG Cal Parameter,83348,R608
506060_Set Green mode False,83348,R608
506180_Clear DTC Request,127,R608
508020_Verify FOG Cal Parameter,-1,R608
503060_ID Evaluate SW Version,1,R608
504012_AI_P0 Enter Programming Session,21474,L603
503020_LIN Voltage,.3400,L603
Displacement sensor,.84,C348
Displacement sensor,0,C348
Displacement sensor,0,C348
504040 AI P0 Read ADC NTC-TI,277,C348
504040 AI P0 Read ADC NTC-TI,276,C348
504040 AI P0 Read ADC NTC-TI,276,C348
504040 AI P0 Read ADC NTC-TI,277,C348
503020_LIN Voltage,.0000,D201
503020_LIN Voltage,.0000,D201
503020_LIN Voltage,.0001,D201
503020_LIN Voltage,.0000,D201
503020_LIN Voltage,.0000,D201
503020_LIN Voltage,.0000,D201
503020_LIN Voltage,.0000,D201
503020_LIN Voltage,.0000,D201
503020_LIN Voltage,-.000,D201
503020_LIN Voltage,.0000,D201
503020_LIN Voltage,.0000,D201
503020_LIN Voltage,.0000,D201
503020_LIN Voltage,.0001,D201
503020_LIN Voltage,.0001,D201
Cabezal de dispensado,0,C201
Presion Material A,0,C201
Presion Material B,0,C201
r919,5670.,C201
r1085,9744.,C201
r1087,-4154,C201
r1503,8491.,C201
r1504,5038.,C201
r920,37025,C201
r948,41309,C201
r1009,5276.,C201
r1010,15931,C201
r1011,24679,C201
r1033,10996,C201
r1081,6522.,C201
r1083,17913,C201
r919,5542.,C201
r1085,7117.,C201
r1087,-4154,C201
r1503,34396,C201
r1504,-1042,C201
r920,9723.,C201
r948,29050,C201
r1009,14491,C201
r1010,12565,C201
r1011,13471,C201
r1033,23260,C201
r1081,15335,C201
r1083,39542,C201
509010_BST CHK Phase 1,37,C201
509010_BST CHK Phase 1,37,C201
504150 AI P1 Read ADC PCB TEMP Normal Temperature,885,R340
504010 AI P0 Read ADC NTC-LB,0,D300
504020 AI P0 Read ADC NTC-HB,0,D300
504030 AI P0 Read ADC NTC-DRL,0,D300
504040 AI P0 Read ADC NTC-TI,0,D300
504050 AI P0 Read ADC BINNING-LB,0,D300
504060 AI P0 Read ADC BINNING-DTRL,0,D300
504070 AI P0 Read ADC BINNING-TI,0,D300
504080 AI P1 Read ADC NTC-LB,0,D300
504090 AI P1 Read ADC NTC-HB,0,D300
504100 AI P1 Read ADC NTC-DRL,0,D300
504110 AI P1 Read ADC NTC-TI,0,D300
504120 AI P1 Read ADC BINNING-LB,0,D300
504130 AI P1 Read ADC BINNING-DRL,0,D300
504140 AI P1 Read ADC BINNING-TI,0,D300
504150 AI P1 Read ADC PCB TEMP Normal Temperature,0,D300
504160 AI P1 Read ADC TEMP REF,0,D300
CAUSER,29,R813
507030 HSD Read ADC Fan Sense,59,R813
55740 TI SRET1 ADC High,0,T114
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0001,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0001,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0001,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0001,C427
501050_[A-01][A-07] LIN Voltage,.0463,C427
501060_Read SW Version,21474,C427
501010_[A-01][C-10] ID Voltage in 10C POWER SUPPLY CHANNEL 1,.0000,C427
501020_[A-01][C-01] ID Voltage in 1C POWER SUPPLY CHANNEL 2,.0000,C427
501030_[A-01][A-21] ID Voltage in 21A POWER SUPPLY TI,.0000,C427
501040_[A-01][A-22] ID Voltage in 22A POWER SUPPLY CHANNEL 4,.0000,C427
501050_[A-01][A-07] LIN Voltage,.0323,C427
501060_Read SW Version,21474,C427
55570 AI_TI_ISHUNT ADC Low,402,IC301
55240 DTRL2 SRET1 ADC High,1,T118
53130 TI BIN ADC High,228,D500
53130 TI BIN ADC High,213,D500
53130 TI BIN ADC High,372,D500
530030_CAL CH1 Voltage High FB,0,D1000
530040_CAL CH1 Voltage Meas Vf High,6.491,D1000
530050_CAL CH2 Voltage High FB,0,D1000
530080_CAL CH3 Voltage Meas Vf High,14.46,D1000
530120_CAL CH1 Voltage Low FB,0,D1000
530140_CAL CH2 Voltage Low FB,0,D1000
530030_CAL CH1 Voltage High FB,0,D1000
530040_CAL CH1 Voltage Meas Vf High,6.494,D1000
530050_CAL CH2 Voltage High FB,0,D1000
530080_CAL CH3 Voltage Meas Vf High,14.50,D1000
530120_CAL CH1 Voltage Low FB,0,D1000
530140_CAL CH2 Voltage Low FB,.8820,D1000
Displacement sensor,.01,R811
Displacement sensor,.04,R811
507040_[A-01][C-11] HSD Voltage High,.0005,R811
507050_[C-11] HSD Current High,.1315,R811
507080_HSD Read ADC Fan Sense,0,R811
507040_[A-01][C-11] HSD Voltage High,.0005,R811
507050_[C-11] HSD Current High,.1595,R811
507080_HSD Read ADC Fan Sense,0,R811
507040_[A-01][C-11] HSD Voltage High,.0005,R811
507050_[C-11] HSD Current High,.3239,R811
507080_HSD Read ADC Fan Sense,0,R811
CAUSER,29,Q300
50120 IDENT Read Serial Number,0,Q300
50120 IDENT Read Serial Number,0,Q300
50120 IDENT Read Serial Number,0,Q300
507070_HSD Check DI_FAN,0,IC200
507070_HSD Check DI_FAN,0,IC200
507070_HSD Check DI_FAN,0,IC200
507070_HSD Check DI_FAN,0,IC200
5_Erase_Flash,0,D300
504010_[C-08] AI P0 Read ADC 8C NTC LB,0,D300
504020_[C-09] AI P0 Read ADC 9C NTC HB,0,D300
504030_[A-12] AI P0 Read ADC 12A NTC DTRL,0,D300
504040_[A-11] AI P0 Read ADC 11A NTC TI,0,D300
